,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,Autumn,Spring,Summer,Winter,NSW,NT,QLD,SA,VIC,WA
10119,22.6,25.1,0.0,6.7,0.2,35.0,9.0,13.0,83.0,94.0,1012.1,1012.3,8.0,8.0,23.5,22.5,0,0,0,1,0,0,0,0,0,1,0
4915,24.6,32.2,0.0,5.2,6.1,33.0,13.0,15.0,79.0,62.0,1013.8,1011.1,5.0,7.0,26.9,30.4,0,1,0,0,0,0,1,0,0,0,0
1279,11.3,24.0,0.0,3.8,9.4,20.0,2.0,7.0,78.0,49.0,1023.8,1020.5,1.0,5.0,16.5,22.1,0,1,0,0,0,0,0,1,0,0,0
1655,4.8,18.7,0.0,1.4,9.4,26.0,6.0,15.0,79.0,53.0,1023.7,1019.4,1.0,1.0,13.6,17.8,0,0,0,0,1,1,0,0,0,0,0
1909,9.4,19.3,0.0,1.8,4.4,52.0,31.0,24.0,55.0,53.0,1020.4,1016.0,4.0,7.0,13.8,18.7,0,0,1,0,0,0,0,0,0,0,1
1723,9.7,21.6,0.0,4.6,5.8,41.0,9.0,26.0,94.0,51.0,1011.1,1010.4,7.0,7.0,15.5,19.4,0,0,0,1,0,0,0,0,1,0,0
146,9.4,20.3,0.6,1.6,6.1,50.0,9.0,24.0,94.0,68.0,1020.0,1017.5,4.0,3.0,12.8,18.8,0,0,0,0,1,0,0,0,0,0,1
1556,14.3,24.4,0.0,5.0,7.5,30.0,2.0,11.0,71.0,58.0,1028.8,1025.5,5.0,3.0,19.1,21.7,0,1,0,0,0,0,0,1,0,0,0
14278,11.0,34.2,0.0,7.2,1.3,85.0,15.0,26.0,32.0,14.0,1005.8,996.8,7.0,7.0,23.5,31.7,0,0,1,0,0,0,0,0,0,1,0
4132,15.9,29.2,0.0,8.6,12.2,46.0,9.0,20.0,53.0,43.0,1015.9,1011.0,0.0,0.0,21.4,26.9,0,0,0,1,0,0,0,0,0,0,1
6526,8.7,22.3,0.0,5.0,10.7,33.0,17.0,22.0,41.0,37.0,1022.7,1018.9,0.0,1.0,16.1,20.3,0,0,1,0,0,1,0,0,0,0,0
5220,14.8,39.2,0.0,5.6,10.6,70.0,7.0,33.0,67.0,19.0,1018.0,1013.2,2.0,6.0,19.6,36.6,0,1,0,0,0,0,0,0,0,1,0
6677,22.1,30.9,0.0,8.0,11.9,39.0,19.0,28.0,62.0,52.0,1016.6,1012.5,5.0,1.0,27.5,28.5,0,0,1,0,0,0,0,1,0,0,0
13716,17.3,31.5,0.0,9.4,0.4,39.0,11.0,13.0,62.0,35.0,1019.2,1016.5,7.0,7.0,20.6,29.5,0,1,0,0,0,0,0,0,0,1,0
559,22.3,26.7,89.0,8.2,0.1,30.0,11.0,13.0,90.0,73.0,1017.7,1015.8,8.0,8.0,22.3,26.0,1,0,0,1,0,0,0,1,0,0,0
7260,15.3,27.7,0.0,7.2,10.7,31.0,17.0,17.0,63.0,59.0,1019.6,1015.3,3.0,6.0,25.0,26.1,0,0,1,0,0,0,0,1,0,0,0
6522,13.4,21.5,0.0,5.4,2.1,52.0,19.0,35.0,65.0,53.0,1008.4,1000.4,7.0,6.0,15.7,20.2,0,0,1,0,0,1,0,0,0,0,0
3136,10.0,23.5,7.6,3.8,11.3,33.0,6.0,15.0,74.0,45.0,1016.5,1015.8,6.0,7.0,15.8,21.7,1,0,0,1,0,0,0,0,0,0,1
861,10.7,17.7,0.0,1.2,3.8,43.0,15.0,28.0,69.0,53.0,1025.5,1021.5,7.0,5.0,12.5,16.8,0,0,0,0,1,0,0,0,1,0,0
5739,24.4,34.3,0.6,7.2,12.5,43.0,17.0,24.0,48.0,57.0,1009.6,1005.1,1.0,1.0,31.4,32.3,0,0,1,0,0,0,0,1,0,0,0
708,5.1,17.9,0.0,2.4,4.5,30.0,13.0,11.0,57.0,58.0,1011.1,1009.1,5.0,7.0,14.1,14.8,0,0,0,0,1,1,0,0,0,0,0
2386,14.6,22.8,4.0,1.2,7.2,52.0,33.0,35.0,81.0,42.0,1011.7,1014.8,7.0,7.0,15.9,21.3,1,0,0,1,0,0,0,0,1,0,0
12475,11.9,16.2,0.0,3.6,0.0,33.0,13.0,13.0,66.0,66.0,1025.6,1023.9,8.0,8.0,14.4,15.4,0,1,0,0,0,0,0,0,0,1,0
5222,21.7,25.8,0.0,3.8,6.7,44.0,20.0,28.0,63.0,62.0,1010.9,1011.0,7.0,2.0,23.5,24.9,0,1,0,0,0,1,0,0,0,0,0
4261,12.4,28.8,0.0,7.2,12.8,43.0,20.0,15.0,47.0,25.0,1014.5,1010.3,5.0,2.0,16.5,26.4,0,0,0,1,0,0,0,0,1,0,0
7301,16.0,16.7,0.6,5.4,0.0,44.0,20.0,7.0,82.0,89.0,1009.7,1008.2,8.0,8.0,16.4,16.0,0,0,1,0,0,0,0,0,0,1,0
8315,12.1,26.5,0.0,4.2,10.3,46.0,19.0,20.0,74.0,34.0,1022.7,1020.7,4.0,1.0,13.1,24.7,0,0,0,1,0,0,0,0,0,1,0
