,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,Autumn,Spring,Summer,Winter,NSW,NT,QLD,SA,VIC,WA
11747,11.4,19.6,0.0,6.2,12.0,43.0,17.0,20.0,60.0,46.0,1022.4,1022.6,3.0,7.0,15.4,17.5,0,0,0,1,0,0,0,0,0,1,0
4675,21.2,36.3,0.0,8.0,10.7,46.0,13.0,19.0,51.0,6.0,1015.2,1010.2,4.0,6.0,28.3,35.1,0,0,1,0,0,0,1,0,0,0,0
5416,6.5,15.3,11.6,4.4,8.4,41.0,22.0,19.0,66.0,52.0,1011.4,1011.7,2.0,7.0,11.1,13.2,1,0,1,0,0,0,0,0,0,1,0
10059,5.9,19.9,0.0,4.0,9.1,39.0,17.0,17.0,43.0,35.0,1021.3,1020.2,1.0,5.0,15.0,17.9,0,0,1,0,0,1,0,0,0,0,0
1194,21.9,32.4,0.0,6.0,11.2,22.0,4.0,7.0,75.0,59.0,1013.9,1009.6,6.0,6.0,26.5,30.0,0,0,0,1,0,0,0,1,0,0,0
4086,16.2,30.4,0.0,11.4,3.0,76.0,48.0,13.0,34.0,26.0,1010.7,1009.7,7.0,8.0,23.1,29.7,0,0,1,0,0,0,0,0,0,1,0
5362,8.7,16.1,0.2,1.4,9.1,70.0,17.0,22.0,84.0,55.0,1017.2,1014.7,3.0,2.0,10.9,15.2,0,0,0,0,1,0,0,0,0,1,0
5550,14.1,29.3,0.0,12.0,13.0,50.0,24.0,20.0,46.0,14.0,1016.3,1013.8,6.0,1.0,17.8,27.6,0,0,1,0,0,0,0,0,1,0,0
3168,10.7,16.5,4.4,4.8,0.2,46.0,15.0,20.0,71.0,65.0,1014.6,1011.0,7.0,8.0,13.7,16.5,1,0,0,0,1,0,0,0,1,0,0
2040,15.9,23.5,0.0,10.2,6.9,54.0,24.0,28.0,66.0,46.0,1022.5,1023.7,7.0,3.0,17.3,22.0,0,0,0,1,0,0,0,0,1,0,0
4336,23.6,33.9,0.0,8.0,10.9,35.0,7.0,22.0,62.0,50.0,1013.8,1009.8,4.0,2.0,28.8,31.9,0,0,1,0,0,0,1,0,0,0,0
14194,6.9,13.4,18.0,0.6,4.1,33.0,17.0,15.0,100.0,78.0,1026.1,1024.5,5.0,7.0,8.6,12.4,1,0,0,0,1,0,0,0,0,1,0
3472,17.2,28.5,21.8,5.0,12.1,35.0,9.0,17.0,85.0,55.0,1009.7,1008.8,7.0,1.0,20.1,27.3,1,0,0,1,0,0,0,0,0,1,0
1284,12.2,21.2,0.0,1.4,4.7,31.0,7.0,24.0,71.0,66.0,1012.4,1009.8,4.0,7.0,15.5,19.5,0,1,0,0,0,1,0,0,0,0,0
8641,16.5,20.6,2.2,8.8,5.7,74.0,41.0,39.0,81.0,62.0,1016.7,1018.5,8.0,1.0,17.0,20.1,1,0,0,1,0,1,0,0,0,0,0
1358,10.7,27.7,0.0,3.6,10.4,50.0,24.0,30.0,42.0,23.0,1016.5,1011.0,1.0,1.0,19.4,26.7,0,0,0,0,1,0,1,0,0,0,0
11066,11.4,34.3,0.0,7.2,13.3,41.0,17.0,20.0,74.0,98.0,1014.7,1010.9,3.0,2.0,17.5,33.2,0,0,0,1,0,0,0,0,0,1,0
1597,6.6,13.3,5.6,6.0,9.7,76.0,43.0,39.0,56.0,53.0,1008.8,1015.2,7.0,5.0,10.0,12.3,1,0,1,0,0,0,0,0,1,0,0
2721,13.7,33.6,0.0,12.0,13.5,39.0,15.0,11.0,43.0,14.0,1018.0,1015.5,0.0,3.0,20.2,30.7,0,0,0,1,0,0,0,0,1,0,0
10661,5.7,14.1,0.0,2.2,2.8,39.0,20.0,15.0,71.0,67.0,1013.9,1012.3,6.0,7.0,7.8,13.4,0,0,0,0,1,0,0,0,0,1,0
1036,2.1,22.3,0.0,7.0,10.7,31.0,2.0,15.0,39.0,16.0,1021.7,1016.2,0.0,1.0,12.4,21.6,0,1,0,0,0,0,1,0,0,0,0
550,4.2,13.0,4.0,3.2,0.1,83.0,57.0,31.0,91.0,88.0,1007.4,1006.2,8.0,8.0,10.7,12.1,1,0,0,0,1,0,0,0,1,0,0
519,7.5,15.6,0.0,3.0,8.2,43.0,28.0,26.0,64.0,34.0,1027.4,1023.6,6.0,6.0,10.3,15.0,0,0,0,0,1,0,1,0,0,0,0
7991,15.1,33.7,0.0,9.6,12.3,33.0,19.0,13.0,48.0,23.0,1021.7,1019.4,0.0,0.0,18.4,31.8,0,0,0,1,0,0,0,0,0,1,0
2706,16.3,30.1,0.2,4.8,9.0,35.0,6.0,22.0,100.0,40.0,1020.7,1017.2,8.0,1.0,17.5,29.1,0,1,0,0,0,0,0,0,0,1,0
1023,13.3,17.9,1.6,1.2,4.6,31.0,17.0,13.0,74.0,63.0,1018.7,1016.1,7.0,5.0,14.9,17.6,1,0,0,0,1,1,0,0,0,0,0
4363,12.3,22.8,0.0,6.6,4.7,37.0,15.0,17.0,60.0,91.0,1009.1,1006.7,7.0,8.0,20.7,16.8,0,0,1,0,0,0,0,0,0,0,1
10668,5.0,11.0,6.0,1.4,8.6,63.0,35.0,33.0,79.0,71.0,1014.5,1017.4,7.0,6.0,5.6,9.0,1,0,0,0,1,0,0,0,0,1,0
1533,22.9,38.6,0.0,14.8,12.2,43.0,13.0,17.0,54.0,20.0,1002.4,997.7,1.0,5.0,27.9,37.2,0,0,0,1,0,0,1,0,0,0,0
7052,14.3,23.1,0.0,6.8,2.2,46.0,13.0,20.0,76.0,64.0,1022.0,1021.0,8.0,7.0,15.1,21.4,0,1,0,0,0,0,0,0,0,1,0
2373,14.4,30.8,0.0,8.0,11.5,35.0,15.0,15.0,68.0,31.0,1011.4,1008.8,3.0,5.0,19.7,29.5,0,0,0,1,0,0,0,0,1,0,0
5367,2.5,15.0,0.0,1.0,5.9,28.0,13.0,11.0,76.0,55.0,1032.4,1030.2,2.0,7.0,6.6,12.8,0,0,0,0,1,0,0,0,0,1,0
7275,17.9,23.6,0.0,5.8,3.1,31.0,13.0,15.0,88.0,61.0,1011.8,1008.1,8.0,7.0,19.7,23.0,0,0,0,1,0,1,0,0,0,0,0
13946,14.1,35.7,0.0,6.6,11.9,37.0,6.0,13.0,66.0,23.0,1008.1,1004.7,3.0,5.0,21.3,34.6,0,0,1,0,0,0,0,0,0,1,0
5396,14.3,27.3,0.0,8.0,13.1,43.0,11.0,19.0,50.0,43.0,1020.2,1017.7,1.0,1.0,21.8,25.0,0,0,0,1,0,0,0,0,0,0,1
10412,4.7,14.5,0.6,1.8,11.5,41.0,13.0,22.0,68.0,63.0,1031.4,1030.5,2.0,8.0,11.1,14.2,0,0,1,0,0,0,0,0,0,1,0
1284,8.4,22.6,0.2,4.0,8.9,22.0,6.0,4.0,56.0,45.0,1018.7,1015.8,1.0,3.0,14.8,21.2,0,1,0,0,0,0,0,1,0,0,0
3527,23.4,32.6,40.0,7.4,8.8,33.0,15.0,9.0,82.0,56.0,1011.2,1008.5,8.0,7.0,26.0,31.7,1,1,0,0,0,0,1,0,0,0,0
7745,3.6,17.2,0.2,1.2,9.0,22.0,7.0,13.0,95.0,45.0,1027.0,1023.3,3.0,2.0,7.4,17.0,0,0,0,0,1,0,0,0,0,1,0
5074,27.1,34.2,0.0,6.2,9.3,76.0,9.0,19.0,65.0,58.0,1011.0,1007.6,3.0,2.0,31.5,33.8,0,0,1,0,0,0,1,0,0,0,0
6197,20.1,24.2,0.0,8.0,5.4,52.0,28.0,31.0,74.0,70.0,1011.2,1010.8,7.0,6.0,22.4,22.9,0,0,0,1,0,1,0,0,0,0,0
1274,16.2,31.1,0.0,8.0,6.2,54.0,13.0,15.0,45.0,33.0,1013.2,1009.1,7.0,7.0,22.9,29.5,0,1,0,0,0,0,1,0,0,0,0
2191,23.9,32.4,0.0,6.4,8.1,20.0,4.0,7.0,76.0,62.0,1014.5,1011.5,7.0,1.0,27.3,31.7,0,1,0,0,0,0,0,1,0,0,0
5488,21.1,39.7,0.0,8.4,10.6,31.0,11.0,11.0,42.0,17.0,1014.6,1011.3,2.0,2.0,29.5,38.6,0,1,0,0,0,0,0,0,0,0,1
731,1.6,14.3,0.0,5.4,11.2,46.0,11.0,33.0,54.0,49.0,1021.5,1018.4,2.0,1.0,7.4,13.6,0,0,1,0,0,0,0,0,0,1,0
9861,21.3,39.0,0.0,8.4,12.4,44.0,15.0,11.0,28.0,13.0,1015.6,1012.4,1.0,4.0,27.1,37.1,0,0,0,1,0,0,0,0,0,1,0
4160,17.5,25.9,0.0,6.2,10.9,31.0,17.0,11.0,68.0,55.0,1016.2,1015.2,3.0,2.0,22.1,24.2,0,0,0,1,0,1,0,0,0,0,0
929,25.2,40.9,0.4,15.6,10.9,65.0,24.0,20.0,36.0,15.0,1008.0,1004.3,2.0,3.0,30.8,39.0,0,0,0,1,0,0,1,0,0,0,0
2283,9.3,16.3,0.2,3.8,2.8,41.0,26.0,26.0,56.0,45.0,1023.9,1023.4,7.0,7.0,12.3,15.0,0,0,1,0,0,0,0,0,1,0,0
1551,4.4,12.3,0.8,1.0,6.5,35.0,19.0,15.0,88.0,73.0,1024.9,1024.9,3.0,4.0,7.4,11.1,0,0,0,0,1,0,0,0,0,1,0
1694,22.5,32.3,0.0,10.6,12.9,41.0,20.0,31.0,54.0,40.0,1010.8,1008.1,1.0,1.0,27.4,30.7,0,0,0,1,0,0,0,0,0,0,1
7425,14.9,26.5,0.0,7.0,13.5,26.0,7.0,9.0,67.0,52.0,1013.5,1009.9,1.0,0.0,17.9,24.2,0,0,0,1,0,0,0,0,0,1,0
3714,13.7,25.9,0.0,9.0,6.4,41.0,15.0,13.0,68.0,66.0,1013.1,1012.5,4.0,6.0,24.0,22.9,0,0,1,0,0,0,0,0,0,0,1
2633,25.3,37.4,0.0,12.0,12.5,46.0,26.0,15.0,60.0,35.0,1015.9,1012.5,2.0,6.0,28.5,36.2,0,0,0,1,0,1,0,0,0,0,0
3009,18.1,32.1,0.0,7.2,11.7,41.0,24.0,15.0,25.0,46.0,1011.7,1011.2,6.0,1.0,26.9,25.2,0,0,1,0,0,0,0,0,0,0,1
10144,17.1,28.5,0.0,7.2,10.3,56.0,22.0,13.0,57.0,41.0,1016.1,1012.1,3.0,6.0,21.7,26.6,0,0,0,1,0,1,0,0,0,0,0
2611,15.8,20.5,110.6,7.2,9.8,37.0,9.0,19.0,56.0,49.0,1010.0,1008.2,1.0,5.0,18.3,19.7,1,0,0,0,1,0,0,1,0,0,0
9137,8.2,16.6,0.0,3.2,4.8,50.0,15.0,33.0,58.0,61.0,1032.6,1030.7,1.0,4.0,13.3,16.1,0,0,0,0,1,1,0,0,0,0,0
1076,-1.5,19.1,0.0,4.0,10.1,33.0,2.0,13.0,63.0,23.0,1024.9,1020.1,0.0,0.0,6.1,18.2,0,0,0,0,1,0,1,0,0,0,0
1988,10.1,30.4,0.2,3.8,6.9,46.0,9.0,33.0,80.0,33.0,1011.3,1005.8,8.0,6.0,16.0,29.6,0,0,1,0,0,0,0,0,0,1,0
4178,18.2,25.9,0.0,7.6,3.6,41.0,15.0,24.0,82.0,76.0,1019.9,1019.6,7.0,8.0,21.9,22.2,0,0,0,1,0,1,0,0,0,0,0
12414,12.3,23.7,0.0,3.0,4.8,33.0,13.0,19.0,90.0,79.0,1025.1,1022.1,8.0,3.0,18.4,21.7,0,1,0,0,0,1,0,0,0,0,0
4939,10.0,21.4,0.2,3.0,9.2,26.0,6.0,11.0,81.0,54.0,1021.9,1019.2,6.0,5.0,14.9,21.0,0,0,0,0,1,0,0,0,0,0,1
2594,20.0,32.2,0.0,6.2,11.1,35.0,20.0,22.0,54.0,31.0,1014.9,1011.2,1.0,1.0,24.1,30.5,0,0,0,0,1,0,1,0,0,0,0
8251,18.1,25.2,0.0,6.8,6.6,48.0,24.0,30.0,58.0,61.0,1019.2,1015.5,7.0,7.0,21.1,22.7,0,0,1,0,0,1,0,0,0,0,0
550,19.0,21.3,6.4,4.8,0.3,50.0,19.0,30.0,93.0,84.0,1016.6,1017.8,8.0,8.0,19.1,19.3,1,0,0,1,0,1,0,0,0,0,0
2797,21.1,28.6,0.4,5.4,5.4,30.0,11.0,15.0,63.0,69.0,1013.3,1011.8,7.0,7.0,26.6,27.2,0,0,0,1,0,0,0,1,0,0,0
3298,24.9,30.7,0.0,5.6,9.6,26.0,6.0,15.0,68.0,69.0,1009.1,1006.3,8.0,4.0,29.7,29.7,0,0,1,0,0,0,0,1,0,0,0
4094,9.9,22.7,2.4,3.4,10.1,37.0,9.0,22.0,80.0,45.0,1012.0,1011.1,4.0,3.0,15.2,20.9,1,0,1,0,0,0,0,0,0,1,0
1997,17.5,24.7,0.0,9.6,8.9,41.0,28.0,28.0,57.0,62.0,1008.8,1008.3,5.0,7.0,20.6,21.7,0,0,0,1,0,0,0,0,0,0,1
1685,16.2,23.2,3.0,10.0,8.9,44.0,20.0,26.0,81.0,50.0,1015.4,1015.7,8.0,6.0,17.4,21.9,1,0,0,1,0,0,0,0,1,0,0
3412,25.1,31.6,15.8,2.8,0.6,50.0,22.0,15.0,71.0,61.0,1002.1,999.7,7.0,6.0,28.6,31.4,1,0,0,1,0,0,1,0,0,0,0
6969,22.1,30.2,0.0,9.0,11.6,37.0,15.0,28.0,65.0,66.0,1012.6,1009.3,6.0,2.0,27.6,28.5,0,0,1,0,0,0,0,1,0,0,0
1760,10.3,25.6,0.0,6.2,10.8,59.0,33.0,15.0,48.0,23.0,1022.7,1019.4,0.0,0.0,16.8,25.4,0,1,0,0,0,0,0,0,0,0,1
9738,-0.3,18.7,0.0,2.6,10.9,24.0,9.0,13.0,74.0,30.0,1022.5,1018.6,2.0,0.0,8.4,17.8,0,0,0,0,1,0,0,0,0,1,0
13105,10.9,23.5,0.0,1.6,10.3,28.0,9.0,6.0,89.0,43.0,1021.1,1018.5,7.0,3.0,14.5,23.3,0,1,0,0,0,0,0,0,0,1,0
14550,11.0,16.6,3.2,5.6,5.4,50.0,17.0,15.0,87.0,45.0,989.7,988.3,7.0,7.0,11.7,15.3,1,0,1,0,0,0,0,0,0,1,0
4596,24.3,30.1,0.0,5.8,9.9,31.0,13.0,20.0,68.0,61.0,1010.3,1006.2,2.0,1.0,28.4,29.5,0,0,1,0,0,0,0,1,0,0,0
12589,19.9,29.8,0.0,29.8,11.3,28.0,13.0,19.0,79.0,57.0,1012.1,1010.4,1.0,1.0,23.8,28.5,0,1,0,0,0,1,0,0,0,0,0
638,3.6,16.1,0.0,1.2,2.2,20.0,9.0,2.0,88.0,50.0,1021.8,1018.3,7.0,7.0,7.7,14.9,0,1,0,0,0,0,0,0,0,1,0
3732,15.2,25.2,0.0,10.0,0.7,61.0,46.0,6.0,44.0,52.0,1006.0,1007.6,7.0,7.0,24.0,24.6,0,0,1,0,0,0,0,0,0,1,0
4949,18.0,23.3,2.4,3.6,6.7,43.0,20.0,20.0,86.0,79.0,1010.2,1008.2,6.0,4.0,20.8,22.7,1,1,0,0,0,1,0,0,0,0,0
4946,8.8,17.7,0.0,3.2,6.5,61.0,30.0,37.0,65.0,57.0,1020.9,1017.9,6.0,2.0,12.4,17.2,0,1,0,0,0,0,0,0,0,1,0
1831,3.5,14.8,2.0,2.0,8.3,30.0,13.0,19.0,83.0,59.0,1021.3,1020.7,3.0,4.0,9.3,12.6,1,1,0,0,0,0,0,0,0,1,0
3316,6.5,19.6,0.0,3.8,5.5,35.0,20.0,17.0,69.0,49.0,1026.6,1022.7,5.0,7.0,15.3,18.6,0,0,0,0,1,1,0,0,0,0,0
1449,12.5,32.8,0.0,5.4,9.7,41.0,4.0,30.0,77.0,27.0,1015.3,1011.3,1.0,4.0,20.9,32.1,0,0,0,1,0,0,0,0,0,1,0
