,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,Autumn,Spring,Summer,Winter
0,10.3,25.2,0.0,1.4,9.5,26.0,6.0,15.0,81.0,37.0,1019.6,1014.8,0.0,1.0,14.9,24.6,0,0,0,0,1
1,8.1,22.9,0.0,2.0,9.8,30.0,15.0,19.0,41.0,30.0,1018.8,1015.0,0.0,0.0,16.2,22.4,0,0,0,0,1
2,9.7,22.4,0.0,5.8,9.4,22.0,7.0,15.0,55.0,52.0,1021.4,1019.1,1.0,4.0,15.4,21.3,0,0,0,0,1
3,11.8,20.0,0.8,1.8,1.1,24.0,9.0,7.0,76.0,53.0,1023.5,1021.7,7.0,7.0,14.1,19.6,0,0,0,0,1
4,12.3,16.7,0.0,2.0,0.3,37.0,11.0,7.0,81.0,89.0,1027.3,1026.2,7.0,8.0,16.1,15.0,0,0,0,0,1
5,12.6,21.5,16.2,5.2,6.4,31.0,7.0,17.0,78.0,52.0,1028.5,1025.7,5.0,2.0,15.9,20.0,1,0,0,0,1
6,12.9,21.9,0.0,2.4,1.6,17.0,9.0,9.0,83.0,63.0,1026.9,1023.1,7.0,7.0,14.7,20.1,0,0,0,0,1
7,14.5,17.4,24.2,2.0,0.6,31.0,7.0,2.0,94.0,73.0,1024.0,1019.3,8.0,6.0,14.7,17.0,1,0,0,0,1
8,10.3,19.7,0.2,4.0,10.0,39.0,17.0,17.0,47.0,34.0,1021.8,1017.0,0.0,1.0,13.2,18.8,0,0,0,0,1
9,6.6,19.6,0.0,4.0,7.9,28.0,11.0,9.0,48.0,38.0,1021.7,1019.4,7.0,7.0,14.2,18.7,0,0,0,0,1
10,7.9,21.1,0.0,2.2,8.1,30.0,7.0,15.0,60.0,48.0,1025.9,1023.4,1.0,6.0,12.8,19.3,0,0,0,0,1
11,12.0,22.8,0.0,3.0,2.2,20.0,6.0,9.0,72.0,69.0,1026.6,1023.3,7.0,7.0,15.3,21.2,0,0,0,0,1
12,13.6,25.7,0.0,1.0,4.5,19.0,4.0,9.0,86.0,65.0,1025.3,1021.0,7.0,1.0,18.3,23.3,0,0,0,0,1
13,16.7,24.8,0.0,1.2,5.9,31.0,9.0,9.0,80.0,65.0,1022.2,1018.7,5.0,6.0,19.1,23.4,0,0,0,0,1
14,16.5,18.9,5.4,2.6,0.0,19.0,2.0,4.0,93.0,71.0,1020.1,1017.8,8.0,8.0,17.1,18.7,1,0,0,0,1
15,12.2,21.5,2.8,0.8,8.7,17.0,7.0,9.0,80.0,57.0,1020.6,1016.1,3.0,3.0,15.6,21.2,1,0,0,0,1
16,9.4,25.4,0.0,1.2,9.6,37.0,6.0,15.0,72.0,34.0,1017.3,1011.9,2.0,2.0,15.2,25.0,0,0,0,0,1
17,6.8,22.9,0.0,3.2,9.8,33.0,2.0,15.0,55.0,25.0,1018.3,1015.7,0.0,0.0,15.4,22.4,0,0,0,0,1
18,7.5,22.9,0.0,3.4,9.0,30.0,6.0,15.0,60.0,45.0,1020.6,1015.4,1.0,1.0,13.6,21.3,0,0,0,0,1
19,12.5,22.8,0.0,2.2,3.3,35.0,6.0,15.0,83.0,54.0,1014.9,1013.8,8.0,7.0,17.4,18.7,0,0,0,0,1
20,12.1,20.4,0.0,3.6,7.5,33.0,7.0,15.0,48.0,52.0,1022.1,1021.3,1.0,8.0,16.6,18.7,0,0,0,0,1
21,12.5,15.7,0.2,4.4,0.0,26.0,6.0,7.0,73.0,77.0,1026.7,1023.1,8.0,8.0,12.7,15.2,0,0,0,0,1
22,12.5,18.9,22.4,0.6,1.9,28.0,9.0,11.0,86.0,67.0,1014.8,1014.1,8.0,6.0,13.8,17.9,1,0,0,0,1
23,8.3,19.9,0.4,1.4,9.5,24.0,9.0,11.0,62.0,42.0,1018.0,1014.1,0.0,1.0,14.7,19.4,0,0,0,0,1
24,8.0,18.2,0.0,2.8,2.3,30.0,6.0,4.0,64.0,41.0,1016.7,1011.7,7.0,7.0,12.7,17.1,0,0,0,0,1
25,8.2,15.7,2.4,2.0,5.2,39.0,11.0,15.0,75.0,49.0,1010.5,1005.9,7.0,6.0,11.5,14.3,1,0,0,0,1
26,8.8,20.3,0.0,3.2,9.8,33.0,11.0,9.0,53.0,36.0,1012.3,1010.0,1.0,3.0,13.1,19.3,0,0,0,0,1
27,6.3,20.6,0.0,3.8,9.5,22.0,11.0,6.0,55.0,25.0,1017.5,1014.2,0.0,0.0,13.8,20.3,0,0,0,0,1
28,3.7,21.3,0.0,2.6,9.9,26.0,6.0,11.0,47.0,29.0,1020.5,1016.1,0.0,0.0,13.9,20.6,0,0,0,0,1
29,7.1,28.7,0.0,3.6,9.8,35.0,2.0,7.0,54.0,28.0,1016.0,1009.6,1.0,1.0,15.7,28.6,0,0,0,0,1
30,12.3,21.8,0.0,6.0,10.3,46.0,19.0,17.0,48.0,26.0,1017.3,1014.3,1.0,0.0,15.1,21.3,0,0,0,0,1
31,8.5,21.3,0.0,5.6,10.1,22.0,11.0,11.0,47.0,45.0,1021.1,1018.1,0.0,1.0,14.0,20.2,0,0,0,0,1
32,8.3,22.1,0.0,3.2,9.8,26.0,7.0,11.0,75.0,53.0,1021.7,1017.2,1.0,1.0,14.0,20.9,0,0,0,0,1
33,8.5,22.4,0.0,3.2,8.0,22.0,7.0,11.0,62.0,33.0,1019.2,1016.0,1.0,2.0,15.4,20.8,0,0,0,0,1
34,9.2,21.7,0.2,2.2,10.2,39.0,7.0,15.0,56.0,29.0,1018.6,1016.0,1.0,1.0,16.1,21.2,0,0,0,0,1
35,7.0,21.2,0.0,5.0,10.3,30.0,9.0,19.0,49.0,29.0,1021.6,1017.4,0.0,0.0,15.5,20.5,0,0,0,0,1
36,7.2,20.9,0.0,5.0,10.3,48.0,11.0,19.0,36.0,26.0,1021.5,1018.1,0.0,0.0,13.8,20.4,0,0,0,0,1
37,7.5,21.5,0.0,5.0,10.3,19.0,7.0,13.0,47.0,32.0,1023.4,1019.4,1.0,0.0,14.3,19.8,0,0,0,0,1
38,5.0,21.6,0.0,3.4,10.2,31.0,6.0,17.0,47.0,21.0,1021.4,1016.0,0.0,0.0,13.2,21.1,0,0,0,0,1
39,4.5,18.7,0.0,3.2,10.4,37.0,11.0,13.0,34.0,16.0,1020.2,1016.2,0.0,0.0,13.7,18.0,0,0,0,0,1
40,4.1,19.4,0.0,4.8,10.4,24.0,9.0,4.0,36.0,19.0,1024.1,1021.1,1.0,1.0,12.5,18.8,0,0,0,0,1
41,7.1,19.9,0.0,4.8,5.3,20.0,7.0,6.0,50.0,28.0,1025.3,1021.5,7.0,7.0,12.1,19.0,0,0,0,0,1
42,6.5,19.8,0.0,2.4,8.0,30.0,9.0,11.0,48.0,25.0,1024.1,1018.1,7.0,7.0,12.6,19.4,0,0,0,0,1
43,9.8,21.4,0.0,4.0,10.8,41.0,17.0,17.0,34.0,22.0,1016.4,1011.4,1.0,0.0,14.4,21.0,0,0,0,0,1
44,10.6,20.3,0.0,6.0,10.7,43.0,17.0,22.0,42.0,27.0,1015.4,1012.0,1.0,1.0,15.0,19.9,0,0,0,0,1
45,6.4,20.1,0.0,7.0,10.6,56.0,13.0,11.0,45.0,34.0,1020.6,1019.5,1.0,2.0,14.5,18.9,0,0,0,0,1
46,8.5,16.9,0.0,3.8,0.0,19.0,7.0,4.0,68.0,54.0,1025.3,1022.8,8.0,8.0,12.1,16.8,0,0,0,0,1
47,6.7,20.5,0.0,3.4,10.8,30.0,15.0,9.0,33.0,26.0,1026.8,1024.8,1.0,1.0,13.9,19.1,0,0,0,0,1
48,7.9,22.1,0.0,2.0,10.7,22.0,11.0,13.0,52.0,45.0,1029.5,1026.5,1.0,3.0,14.2,20.6,0,0,0,0,1
49,9.3,20.5,0.0,3.2,0.0,17.0,6.0,9.0,70.0,53.0,1026.7,1022.2,7.0,7.0,14.2,19.1,0,0,0,0,1
50,11.4,24.9,0.0,1.8,7.9,39.0,9.0,15.0,64.0,66.0,1017.3,1011.6,2.0,7.0,20.3,20.4,0,0,0,0,1
51,9.8,21.7,10.0,6.2,10.6,39.0,17.0,9.0,43.0,28.0,1020.4,1018.6,1.0,1.0,13.6,21.6,1,0,0,0,1
52,7.5,21.6,0.0,3.8,10.7,24.0,9.0,13.0,47.0,40.0,1027.2,1024.7,1.0,1.0,15.3,20.0,0,0,0,0,1
53,8.9,21.6,0.0,4.2,10.3,30.0,11.0,17.0,58.0,42.0,1027.9,1024.3,2.0,4.0,15.2,20.7,0,0,0,0,1
54,10.9,22.3,0.0,3.4,8.2,50.0,6.0,13.0,66.0,48.0,1025.7,1021.7,3.0,5.0,17.0,20.3,0,0,0,0,1
55,11.0,23.0,0.2,3.2,5.4,19.0,2.0,7.0,68.0,58.0,1024.1,1021.3,7.0,7.0,17.9,20.6,0,0,0,0,1
56,12.5,20.9,0.0,2.8,5.6,22.0,4.0,9.0,68.0,57.0,1025.4,1021.9,7.0,7.0,17.5,19.9,0,0,0,0,1
57,14.0,23.2,5.0,2.6,10.0,28.0,2.0,15.0,72.0,59.0,1024.1,1020.2,4.0,2.0,18.7,21.4,1,0,0,0,1
58,13.8,24.6,0.4,4.0,9.5,28.0,2.0,15.0,71.0,56.0,1023.2,1019.7,5.0,2.0,19.6,22.8,0,0,0,0,1
59,14.5,24.1,0.0,4.0,9.0,35.0,11.0,19.0,69.0,70.0,1021.9,1017.6,4.0,4.0,20.7,21.8,0,0,0,0,1
60,16.8,25.1,1.6,4.2,5.7,26.0,7.0,4.0,74.0,52.0,1023.1,1020.5,6.0,6.0,19.6,23.4,1,0,1,0,0
61,12.9,23.0,0.0,3.6,7.9,26.0,11.0,17.0,64.0,57.0,1024.8,1022.3,6.0,2.0,21.1,21.7,0,0,1,0,0
62,15.0,22.9,0.0,4.0,8.7,44.0,19.0,20.0,58.0,50.0,1026.4,1023.5,7.0,7.0,19.7,21.2,0,0,1,0,0
63,15.6,19.7,6.0,7.8,0.0,43.0,11.0,13.0,90.0,92.0,1024.1,1020.1,8.0,8.0,16.0,15.9,1,0,1,0,0
64,15.0,23.2,41.6,4.4,5.4,30.0,6.0,11.0,78.0,86.0,1014.2,1010.3,7.0,7.0,19.6,20.3,1,0,1,0,0
65,15.5,22.5,3.8,1.8,11.0,61.0,22.0,26.0,61.0,47.0,1012.2,1009.4,1.0,2.0,18.1,21.9,1,0,1,0,0
66,11.9,23.8,0.0,5.6,10.7,24.0,9.0,7.0,56.0,41.0,1015.3,1012.3,1.0,1.0,18.1,22.5,0,0,1,0,0
67,11.2,23.2,0.0,5.2,10.6,22.0,9.0,11.0,60.0,51.0,1018.9,1015.0,1.0,1.0,18.1,22.4,0,0,1,0,0
68,12.5,21.9,0.0,4.0,10.1,26.0,7.0,13.0,62.0,53.0,1022.2,1019.9,2.0,2.0,18.9,20.2,0,0,1,0,0
69,12.1,22.9,0.0,4.4,10.2,24.0,7.0,11.0,66.0,56.0,1022.2,1016.9,1.0,2.0,18.5,21.2,0,0,1,0,0
70,11.8,23.7,0.0,4.0,10.1,28.0,9.0,15.0,64.0,60.0,1020.1,1015.2,3.0,3.0,18.2,21.4,0,0,1,0,0
71,16.1,25.0,0.0,4.6,7.7,37.0,2.0,15.0,66.0,60.0,1019.1,1015.5,7.0,2.0,19.6,22.6,0,0,1,0,0
72,13.6,24.7,0.4,4.2,10.1,30.0,4.0,13.0,66.0,61.0,1021.6,1017.9,2.0,1.0,20.7,23.5,0,0,1,0,0
73,17.0,24.5,0.2,5.2,9.6,33.0,13.0,15.0,61.0,60.0,1021.9,1015.9,2.0,7.0,21.7,22.1,0,0,1,0,0
74,14.9,25.5,1.0,6.2,9.7,28.0,2.0,15.0,72.0,61.0,1019.2,1014.3,1.0,1.0,20.4,24.4,0,0,1,0,0
75,15.4,26.9,0.0,4.8,10.3,33.0,2.0,15.0,61.0,63.0,1016.7,1013.1,1.0,1.0,23.4,25.4,0,0,1,0,0
76,18.2,24.9,0.4,2.6,6.2,26.0,7.0,15.0,85.0,66.0,1020.7,1016.5,7.0,3.0,20.7,24.0,0,0,1,0,0
77,17.3,26.8,0.2,2.8,10.0,31.0,6.0,19.0,73.0,64.0,1019.4,1015.6,3.0,2.0,22.5,24.5,0,0,1,0,0
78,16.0,28.7,0.4,5.2,10.4,35.0,7.0,15.0,56.0,60.0,1018.9,1015.1,1.0,2.0,24.5,25.9,0,0,1,0,0
79,17.6,26.8,0.0,5.4,9.5,35.0,9.0,20.0,69.0,63.0,1019.4,1015.5,2.0,1.0,23.1,23.9,0,0,1,0,0
80,16.1,26.9,0.0,6.4,7.8,31.0,9.0,15.0,56.0,54.0,1018.4,1015.2,1.0,7.0,23.6,23.7,0,0,1,0,0
81,16.7,22.5,0.0,6.8,1.2,44.0,13.0,11.0,73.0,58.0,1022.7,1021.7,7.0,7.0,19.6,21.1,0,0,1,0,0
82,12.4,23.2,0.0,5.0,10.1,43.0,19.0,24.0,45.0,44.0,1027.6,1024.0,1.0,2.0,19.9,21.0,0,0,1,0,0
83,11.6,23.8,0.0,7.2,11.3,30.0,9.0,13.0,48.0,47.0,1025.8,1021.5,1.0,2.0,19.8,23.0,0,0,1,0,0
84,11.0,25.3,0.0,5.4,11.1,24.0,7.0,15.0,61.0,50.0,1022.8,1019.4,1.0,1.0,20.2,23.6,0,0,1,0,0
85,11.0,26.6,0.0,4.0,11.1,26.0,7.0,15.0,57.0,53.0,1019.4,1013.2,0.0,0.0,21.5,25.1,0,0,1,0,0
86,13.1,35.1,0.0,5.6,10.7,31.0,7.0,17.0,55.0,45.0,1012.9,1008.1,0.0,1.0,23.7,29.4,0,0,1,0,0
87,14.9,24.7,0.0,6.8,10.5,30.0,13.0,20.0,55.0,53.0,1019.2,1017.3,4.0,4.0,21.7,23.0,0,0,1,0,0
88,13.4,24.9,0.0,6.2,9.7,31.0,13.0,13.0,59.0,51.0,1024.2,1022.0,7.0,7.0,23.0,23.7,0,0,1,0,0
89,14.1,24.7,0.0,6.8,7.6,30.0,9.0,13.0,56.0,52.0,1025.8,1022.6,7.0,6.0,22.0,22.4,0,0,1,0,0
90,13.4,26.8,0.0,5.8,10.8,35.0,13.0,17.0,52.0,54.0,1024.4,1019.4,2.0,1.0,23.7,24.7,0,0,1,0,0
91,13.6,27.4,0.0,7.0,11.3,33.0,11.0,17.0,52.0,52.0,1021.5,1016.1,1.0,0.0,23.4,25.1,0,0,1,0,0
92,14.3,28.1,0.0,6.6,10.3,31.0,7.0,17.0,57.0,58.0,1020.8,1015.7,1.0,1.0,24.2,26.7,0,0,1,0,0
93,15.9,31.3,0.0,8.2,10.5,39.0,15.0,13.0,50.0,52.0,1015.5,1009.3,1.0,2.0,25.2,27.9,0,0,1,0,0
94,16.3,24.9,0.0,5.8,11.6,31.0,13.0,17.0,46.0,43.0,1016.2,1014.7,1.0,1.0,23.3,22.3,0,0,1,0,0
95,14.5,28.4,0.0,8.2,11.0,28.0,15.0,6.0,32.0,15.0,1018.6,1014.4,1.0,1.0,20.7,27.6,0,0,1,0,0
96,16.4,24.7,0.0,10.6,5.9,35.0,19.0,19.0,50.0,57.0,1023.8,1022.7,7.0,8.0,21.5,22.0,0,0,1,0,0
97,16.2,19.3,22.6,4.0,0.0,26.0,2.0,9.0,87.0,65.0,1027.9,1026.2,8.0,8.0,17.8,18.8,1,0,1,0,0
98,15.4,19.6,7.6,1.4,0.0,24.0,9.0,6.0,85.0,73.0,1027.3,1024.1,8.0,8.0,16.8,19.2,1,0,1,0,0
99,15.6,21.7,2.0,1.8,1.4,20.0,6.0,11.0,77.0,53.0,1025.3,1022.4,7.0,7.0,19.2,21.4,1,0,1,0,0
100,15.0,24.3,1.2,2.2,9.4,30.0,9.0,15.0,72.0,64.0,1024.9,1021.4,5.0,2.0,21.0,22.9,1,0,1,0,0
101,18.0,25.0,0.0,5.0,10.7,30.0,7.0,13.0,61.0,56.0,1022.7,1018.3,3.0,2.0,21.2,24.1,0,0,1,0,0
102,17.4,27.2,0.2,6.2,9.1,35.0,7.0,20.0,62.0,62.0,1017.8,1015.0,6.0,2.0,22.7,22.6,0,0,1,0,0
103,16.9,22.6,14.4,5.6,4.7,41.0,19.0,22.0,65.0,54.0,1021.2,1019.6,6.0,7.0,20.3,21.5,1,0,1,0,0
104,14.9,23.1,0.2,7.2,8.3,31.0,15.0,17.0,54.0,59.0,1024.1,1021.8,6.0,4.0,19.7,20.0,0,0,1,0,0
105,12.3,23.2,0.0,5.2,11.5,35.0,9.0,17.0,53.0,44.0,1025.2,1023.2,2.0,2.0,20.3,21.9,0,0,1,0,0
106,12.6,23.3,0.0,8.2,11.4,28.0,7.0,13.0,58.0,42.0,1025.7,1022.1,2.0,1.0,19.3,22.5,0,0,1,0,0
107,13.6,24.5,0.0,5.6,11.4,28.0,2.0,13.0,58.0,48.0,1024.3,1020.4,2.0,1.0,20.4,23.4,0,0,1,0,0
108,14.8,25.6,0.0,6.4,11.1,33.0,11.0,13.0,55.0,59.0,1020.3,1014.4,1.0,1.0,22.6,23.9,0,0,1,0,0
109,16.5,25.8,6.6,7.4,9.4,37.0,7.0,17.0,58.0,56.0,1015.2,1009.8,7.0,3.0,21.5,23.4,1,0,1,0,0
110,10.6,23.0,0.0,7.0,12.8,35.0,13.0,9.0,34.0,21.0,1018.8,1013.7,1.0,1.0,17.3,22.4,0,0,1,0,0
111,12.3,24.3,0.0,5.6,12.4,30.0,11.0,13.0,44.0,40.0,1021.2,1016.8,1.0,1.0,20.0,22.4,0,0,1,0,0
112,14.5,23.8,0.0,6.8,10.5,31.0,6.0,17.0,54.0,67.0,1019.4,1015.7,4.0,6.0,20.5,19.2,0,0,1,0,0
113,14.2,25.2,0.0,4.8,10.2,31.0,7.0,15.0,57.0,57.0,1020.7,1018.2,3.0,6.0,22.3,22.6,0,0,1,0,0
114,13.4,24.1,0.0,7.0,9.3,28.0,7.0,15.0,52.0,49.0,1023.1,1020.6,7.0,6.0,20.9,22.8,0,0,1,0,0
115,13.9,25.6,0.0,5.6,12.4,30.0,6.0,15.0,52.0,51.0,1022.3,1018.3,2.0,1.0,22.6,24.2,0,0,1,0,0
