MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,Autumn,Spring,Summer,Winter
25.9,33.3,21.8,7.4,8.1,37.0,6.0,24.0,81.0,64.0,1010.9,1007.9,6.0,7.0,29.5,32.6,1,0,0,1,0
22.6,30.9,0.8,3.0,0.5,44.0,22.0,24.0,67.0,46.0,1007.0,1003.7,7.0,7.0,26.0,30.0,0,0,0,1,0
22.9,32.7,0.0,7.6,11.1,37.0,11.0,24.0,67.0,58.0,1013.9,1010.0,3.0,2.0,27.6,30.4,0,0,1,0,0
21.4,33.3,0.0,6.0,10.6,35.0,15.0,15.0,57.0,45.0,1012.4,1009.2,5.0,3.0,25.8,32.8,0,0,0,0,1
24.1,31.7,3.6,4.0,9.4,46.0,22.0,22.0,83.0,61.0,1011.2,1007.8,7.0,7.0,26.2,30.4,1,1,0,0,0
17.6,36.2,0.0,16.0,12.9,48.0,26.0,31.0,17.0,8.0,1017.4,1012.9,0.0,0.0,29.9,35.9,0,0,1,0,0
11.3,32.7,0.0,9.8,10.8,57.0,6.0,22.0,20.0,11.0,1017.6,1013.8,1.0,2.0,23.1,31.6,0,0,0,0,1
22.0,38.7,0.0,12.6,13.0,33.0,13.0,9.0,37.0,16.0,1009.7,1006.5,3.0,5.0,31.6,38.1,0,0,0,1,0
27.0,33.6,0.0,6.8,8.7,39.0,13.0,30.0,69.0,63.0,1007.2,1005.0,7.0,7.0,30.6,32.4,0,0,0,1,0
6.4,24.7,0.0,6.0,10.8,44.0,9.0,24.0,34.0,16.0,1025.3,1021.0,0.0,2.0,14.6,24.0,0,1,0,0,0
17.3,29.2,0.0,9.6,10.6,50.0,31.0,24.0,26.0,15.0,1019.1,1015.2,1.0,0.0,20.3,28.6,0,0,0,0,1
24.9,34.3,0.0,10.4,11.3,39.0,13.0,24.0,62.0,49.0,1015.1,1010.4,2.0,2.0,29.6,32.9,0,0,1,0,0
16.5,28.5,18.8,10.4,8.9,41.0,13.0,24.0,86.0,40.0,1018.0,1012.8,5.0,4.0,18.8,27.6,1,0,1,0,0
12.5,35.2,0.0,10.6,11.4,33.0,9.0,24.0,27.0,14.0,1016.1,1012.5,1.0,1.0,24.3,34.6,0,1,0,0,0
22.5,35.6,0.0,12.6,3.7,63.0,11.0,22.0,36.0,32.0,1009.3,1004.8,7.0,5.0,28.5,33.0,0,0,0,1,0
10.3,28.9,0.0,4.8,9.4,33.0,17.0,13.0,19.0,9.0,1019.8,1014.4,7.0,5.0,19.8,28.0,0,0,0,0,1
25.7,33.2,0.0,6.2,10.8,39.0,20.0,24.0,70.0,45.0,1009.0,1006.4,3.0,2.0,28.3,32.8,0,1,0,0,0
17.5,31.7,0.0,7.4,10.2,37.0,19.0,22.0,36.0,41.0,1016.7,1012.5,3.0,2.0,23.7,28.5,0,0,0,0,1
2.5,25.8,0.0,4.2,10.3,35.0,2.0,11.0,40.0,11.0,1023.2,1018.3,0.0,0.0,13.3,25.3,0,0,0,0,1
23.5,35.0,5.0,7.4,10.4,59.0,11.0,30.0,73.0,43.0,1012.9,1008.7,7.0,7.0,28.2,33.7,1,0,1,0,0
25.1,30.8,0.2,3.8,2.3,30.0,11.0,7.0,80.0,96.0,1008.0,1004.9,6.0,8.0,29.5,24.7,0,1,0,0,0
21.8,41.3,0.0,13.4,10.1,31.0,2.0,11.0,20.0,12.0,1005.8,1001.6,6.0,6.0,31.5,39.5,0,0,0,1,0
25.8,33.6,0.0,7.0,10.1,39.0,11.0,26.0,64.0,54.0,1014.0,1009.6,2.0,1.0,30.0,32.8,0,0,1,0,0
1.5,18.0,0.0,5.8,10.1,48.0,17.0,28.0,59.0,30.0,1026.3,1023.0,0.0,0.0,9.2,17.4,0,1,0,0,0
3.9,21.3,0.0,8.0,11.3,37.0,13.0,13.0,37.0,40.0,1024.0,1020.2,0.0,0.0,12.8,19.3,0,0,1,0,0
21.4,33.1,0.0,4.0,11.0,41.0,9.0,20.0,64.0,45.0,1014.9,1010.5,1.0,1.0,26.5,30.2,0,0,0,0,1
23.8,29.5,44.6,3.2,0.1,48.0,15.0,20.0,91.0,95.0,1007.5,1005.4,8.0,8.0,26.9,25.8,1,0,0,1,0
24.3,31.3,22.8,2.6,2.2,41.0,4.0,15.0,95.0,73.0,1008.7,1006.4,8.0,7.0,25.2,30.0,1,0,0,1,0
19.2,31.2,0.0,4.6,10.5,50.0,13.0,19.0,72.0,29.0,1015.9,1011.8,4.0,4.0,24.1,30.3,0,0,0,0,1
22.2,32.0,0.0,7.0,7.8,41.0,22.0,24.0,59.0,43.0,1014.6,1010.4,4.0,7.0,25.4,30.7,0,0,0,0,1
18.3,32.4,0.0,7.8,11.0,43.0,22.0,15.0,29.0,22.0,1014.9,1010.8,4.0,1.0,22.1,30.9,0,0,0,0,1
20.5,32.7,0.0,8.0,11.0,43.0,20.0,26.0,67.0,36.0,1015.8,1011.7,1.0,1.0,26.0,30.8,0,0,0,0,1
12.1,22.7,0.0,11.0,11.3,46.0,31.0,20.0,35.0,25.0,1021.7,1018.7,4.0,1.0,15.6,20.4,0,1,0,0,0
22.4,33.6,17.6,8.8,7.9,41.0,13.0,11.0,75.0,57.0,1007.4,1003.9,8.0,7.0,27.0,32.0,1,0,0,1,0
13.1,29.6,0.0,7.8,11.0,48.0,26.0,15.0,24.0,11.0,1017.7,1013.2,5.0,2.0,20.9,28.4,0,0,0,0,1
25.6,33.3,1.0,5.8,11.1,39.0,15.0,28.0,71.0,63.0,1011.1,1008.8,3.0,6.0,30.2,32.6,0,0,0,1,0
21.4,40.9,0.0,12.8,11.7,46.0,7.0,28.0,25.0,11.0,1008.5,1003.7,1.0,6.0,34.6,39.8,0,0,1,0,0
2.9,18.3,0.0,4.4,9.7,33.0,6.0,17.0,41.0,30.0,1027.2,1023.3,1.0,5.0,10.1,17.8,0,0,0,0,1
18.2,30.4,0.0,3.8,9.8,28.0,7.0,17.0,69.0,53.0,1014.5,1011.1,1.0,1.0,24.4,29.4,0,0,0,0,1
6.0,23.3,0.0,8.4,11.8,41.0,30.0,20.0,24.0,14.0,1023.4,1019.8,0.0,0.0,16.0,21.9,0,0,1,0,0
22.3,33.6,0.0,6.4,10.7,41.0,9.0,24.0,64.0,48.0,1014.2,1009.1,1.0,2.0,27.9,30.7,0,0,1,0,0
21.5,35.9,0.0,11.8,12.4,39.0,20.0,13.0,22.0,15.0,1011.8,1007.9,0.0,1.0,28.4,35.2,0,0,0,1,0
23.5,42.3,0.0,14.0,10.5,31.0,11.0,11.0,43.0,14.0,1008.0,1004.6,6.0,4.0,32.1,41.6,0,0,0,1,0
21.9,33.2,0.0,7.0,10.9,46.0,22.0,20.0,39.0,21.0,1014.6,1010.8,7.0,6.0,25.4,32.8,0,1,0,0,0
-0.1,17.2,0.0,5.0,10.1,39.0,17.0,20.0,56.0,32.0,1027.0,1023.8,1.0,0.0,10.1,15.6,0,1,0,0,0
25.2,34.0,0.0,7.6,10.4,44.0,9.0,28.0,71.0,48.0,1012.3,1007.8,6.0,3.0,29.6,33.1,0,0,1,0,0
24.8,32.7,0.0,6.0,9.9,35.0,11.0,28.0,66.0,51.0,1015.0,1010.7,6.0,1.0,28.0,31.3,0,0,1,0,0
16.9,36.3,0.0,15.8,12.7,54.0,20.0,26.0,13.0,6.0,1012.5,1008.3,1.0,1.0,28.5,35.7,0,0,0,1,0
27.6,31.9,0.4,5.2,8.3,41.0,17.0,28.0,73.0,63.0,1008.0,1006.0,3.0,6.0,30.1,31.6,0,1,0,0,0
6.2,17.6,0.0,8.0,10.9,41.0,22.0,19.0,37.0,17.0,1025.0,1022.4,1.0,1.0,12.0,16.6,0,0,0,0,1
