MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,Autumn,Spring,Summer,Winter
8.3,19.9,0.4,1.4,9.5,24.0,9.0,11.0,62.0,42.0,1018.0,1014.1,0.0,1.0,14.7,19.4,0,0,0,0,1
23.8,31.2,0.0,6.8,9.2,24.0,7.0,11.0,67.0,59.0,1010.7,1007.1,1.0,1.0,28.8,29.7,0,1,0,0,0
10.5,27.5,0.0,6.0,11.3,39.0,19.0,30.0,42.0,27.0,1018.3,1015.1,1.0,0.0,21.7,25.6,0,0,0,0,1
12.5,19.6,0.0,1.4,1.5,17.0,4.0,4.0,84.0,66.0,1025.6,1022.0,8.0,7.0,15.4,19.1,0,0,0,0,1
22.0,30.0,0.0,6.6,7.0,30.0,11.0,15.0,63.0,70.0,1014.6,1010.5,5.0,6.0,27.9,27.9,0,0,1,0,0
21.5,30.5,0.0,7.8,9.5,35.0,19.0,22.0,56.0,54.0,1008.4,1005.2,4.0,6.0,27.3,29.7,0,1,0,0,0
24.4,27.8,88.6,2.2,0.0,56.0,17.0,17.0,91.0,91.0,1004.5,1001.1,8.0,8.0,27.1,27.1,1,1,0,0,0
11.9,29.5,0.0,6.2,11.0,33.0,6.0,20.0,35.0,18.0,1015.2,1010.5,0.0,1.0,24.4,28.8,0,0,1,0,0
16.8,25.7,6.2,7.2,6.1,35.0,6.0,15.0,68.0,67.0,1018.0,1015.9,5.0,5.0,23.6,23.3,1,0,1,0,0
19.8,28.5,0.0,3.8,9.0,30.0,15.0,15.0,72.0,59.0,1015.5,1012.3,2.0,3.0,24.3,27.2,0,0,0,0,1
19.0,27.2,0.0,9.8,8.3,61.0,30.0,39.0,60.0,47.0,1024.5,1021.2,6.0,2.0,21.8,25.5,0,0,1,0,0
11.5,26.7,0.0,6.6,7.2,39.0,7.0,31.0,59.0,58.0,1018.2,1015.3,3.0,3.0,21.0,24.0,0,0,0,0,1
13.0,20.4,0.0,2.6,8.1,37.0,11.0,15.0,62.0,51.0,1020.6,1017.7,4.0,6.0,16.5,19.7,0,0,0,0,1
23.9,30.3,1.8,0.8,4.0,28.0,9.0,13.0,78.0,75.0,1009.3,1005.8,7.0,7.0,27.8,28.7,1,0,0,1,0
20.2,28.6,0.0,7.6,9.1,31.0,7.0,19.0,65.0,49.0,1018.0,1013.5,6.0,3.0,25.4,28.0,0,0,0,0,1
18.4,27.5,0.6,5.6,8.4,37.0,11.0,11.0,68.0,72.0,1024.5,1021.7,5.0,3.0,24.1,24.1,0,1,0,0,0
