,RainToday,Region
0,0,New South Wales
1,0,New South Wales
2,0,New South Wales
3,0,New South Wales
4,0,New South Wales
5,0,New South Wales
6,0,New South Wales
7,0,New South Wales
8,0,New South Wales
9,0,New South Wales
10,0,New South Wales
11,0,New South Wales
12,1,New South Wales
13,0,New South Wales
14,0,New South Wales
15,0,New South Wales
16,0,New South Wales
17,0,New South Wales
18,0,New South Wales
19,0,New South Wales
20,0,New South Wales
21,0,New South Wales
22,0,New South Wales
23,0,New South Wales
24,0,New South Wales
25,0,New South Wales
26,0,New South Wales
27,0,New South Wales
28,0,New South Wales
29,0,New South Wales
30,0,New South Wales
31,0,New South Wales
32,0,New South Wales
33,0,New South Wales
34,0,New South Wales
35,0,New South Wales
36,0,New South Wales
37,0,New South Wales
38,1,New South Wales
39,1,New South Wales
40,1,New South Wales
41,0,New South Wales
42,0,New South Wales
43,0,New South Wales
44,0,New South Wales
45,0,New South Wales
46,0,New South Wales
47,0,New South Wales
48,0,New South Wales
49,0,New South Wales
50,0,New South Wales
51,0,New South Wales
52,0,New South Wales
53,0,New South Wales
54,0,New South Wales
55,0,New South Wales
56,0,New South Wales
57,0,New South Wales
58,0,New South Wales
59,0,New South Wales
60,0,New South Wales
61,0,New South Wales
62,0,New South Wales
63,0,New South Wales
64,0,New South Wales
65,0,New South Wales
66,0,New South Wales
67,0,New South Wales
68,0,New South Wales
69,0,New South Wales
70,0,New South Wales
71,0,New South Wales
72,0,New South Wales
73,0,New South Wales
74,1,New South Wales
75,1,New South Wales
76,1,New South Wales
77,0,New South Wales
78,0,New South Wales
79,0,New South Wales
80,0,New South Wales
81,0,New South Wales
82,1,New South Wales
83,0,New South Wales
84,0,New South Wales
85,0,New South Wales
86,0,New South Wales
87,0,New South Wales
88,0,New South Wales
89,0,New South Wales
90,1,New South Wales
91,1,New South Wales
92,1,New South Wales
93,0,New South Wales
94,0,New South Wales
95,0,New South Wales
96,0,New South Wales
97,0,New South Wales
98,0,New South Wales
99,0,New South Wales
100,0,New South Wales
101,0,New South Wales
102,0,New South Wales
103,0,New South Wales
104,0,New South Wales
105,0,New South Wales
106,0,New South Wales
107,0,New South Wales
108,0,New South Wales
109,0,New South Wales
110,0,New South Wales
111,0,New South Wales
112,0,New South Wales
113,0,New South Wales
114,0,New South Wales
115,1,New South Wales
116,1,New South Wales
117,0,New South Wales
118,0,New South Wales
119,0,New South Wales
120,0,New South Wales
121,0,New South Wales
122,1,New South Wales
123,1,New South Wales
124,1,New South Wales
125,0,New South Wales
126,0,New South Wales
127,0,New South Wales
128,0,New South Wales
129,0,New South Wales
130,0,New South Wales
131,0,New South Wales
